rat_type ,gtpu_access_tunnel_ip, cell_type ,cell_name,cell_site, loc_eci   ,latitude,longitude, cd_call_id ,s_dl_rtcp_mos, c_dl_rtcp_mos , s_ul_rtcp_mos     , c_ul_rtcp_mos
 6        , 10.36.23.184          , OM         , 404-97-9571-2    , UW_E_F3_OM_AGR59B_B   , 2450178   , 27.20082 , 78.00566000000001 , 1          , 8.79194           , 2             , 8.797843          , 2             
 6        , 10.36.23.184          , Macro     , 404-97-61754-31  , UW_E_F1_HS_AGRM348B_B  , 15809055  , 27.21061 , 77.97915999999999 , 1          , 4.337305          , 1             , 4.38127           , 1             
 6        , 10.36.23.184          , OM        , 404-97-92766-91  , UW_E_T1_OM_AGR281B_B  , 23748187  , 27.21364 , 78.01069          , 7          , 43.916159         , 11            , 48.19610299999999 , 11            
 6        , 10.36.23.184          , OM        , 404-97-509522-30 , UW_E_F1_OM_AGR22A_A    , 130437662 , 27.21498 , 78.01864999999999 , 1          , 4.382449          , 1             , 4.396182          , 1             
 6        , 10.36.23.184          , ULS       , 404-97-60269-22  , UW_E_T2_HS_AGRM154C_C , 15428886  , 27.21681 , 78.01352          , 1          , 17.557531         , 4             , 17.589498         , 4             
 6        , 10.36.23.184          , OM        , 404-97-93791-31  , UW_E_F1_OM_AGR232B_B   , 24010527  , 27.20887 , 77.99760000000001 , 5          , 87.846333         , 20            , 83.47726900000001 , 20            
 6        , 10.36.23.184          , Other     , Other            , Other                  , 15431199  , 0        , 0                 , 4          , 21.932928         , 5             , 21.988668         , 5             
 6        , 10.36.23.184          , OM        , 404-97-802413-92 , UW_E_T1_OM_AGR729C_C   , 205417820 , 27.21144 , 78.01409          , 2          , 8.785356999999999 , 2             , 8.793255          , 2             
 6        , 10.36.23.184          , OM         , 404-97-9506-2    , UW_E_F3_OM_AGR06B_B   , 2433538   , 27.18963 , 77.99970999999999 , 1          , 4.393579          , 1             , 4.385389          , 1             
 6        , 10.36.23.184          , OM        , 404-97-879992-2  , UW_E_F3_OM_RMDI01B_B  , 225277954 , 27.30639 , 78.03178          , 1          , 8.790557          , 2             , 8.801537          , 2             
 6        , 10.36.23.184          , OM        , 404-97-95534-22  , UW_E_T2_OM_AGR387C_C   , 24456726  , 27.21343 , 77.99679          , 1          , 8.787388          , 2             , 8.768274999999999 , 2             
 6        , 10.36.23.184          , OM        , 404-97-509520-61 , UW_E_F5_IM_AGR20B_B    , 130437181 , 27.22123 , 78.01109          , 9          , 48.259507         , 12            , 52.649907         , 12            
 6        , 10.36.23.184          , OM        , 404-97-596696-61 , UW_E_F5_OM_AGR100B_B   , 152754237 , 27.21062 , 78.00185999999999 , 4          , 17.580099         , 4             , 17.552473         , 4             
 6        , 10.36.23.184          , OM        , 404-97-509508-31 , UW_E_F1_OM_AGR08B_B   , 130434079 , 27.18759 , 78.00915000000001 , 1          , 4.392554          , 1             , 4.392148          , 1             
 6        , 10.36.23.184          , OM        , 404-97-93862-26  , UW_E_T2_OM_AGR211C_N  , 24028698  , 27.22322 , 77.99617000000001 , 1          , 8.782983999999999 , 2             , 8.796527000000001 , 2             
 6        , 10.36.23.184          , OM        , 404-97-9506-4    , UW_E_F3_OM_AGR06D_D   , 2433540   , 27.18963 , 77.99970999999999 , 1          , 26.360582         , 6             , 26.360078         , 6             
 6        , 10.36.23.184          , OM        , 404-97-94480-26  , UW_E_T2_OM_AGR110C_N   , 24186906  , 27.20087 , 78.00819          , 2          , 8.671317          , 2             , 8.766197          , 2             
