gtpu_access_tunnel_ip,count
 10.36.23.184          ,257
 100.99.254.114        ,236
 10.36.58.247          ,223
 100.100.217.243       ,218
 100.93.48.250         ,216
 100.92.83.219         ,216
 100.99.143.108        ,216
 10.36.55.188          ,202
 100.101.81.67         ,198
 100.95.17.202         ,198
 100.102.64.163        ,196
 100.99.135.12         ,196
 100.102.75.211        ,195
 10.36.26.252          ,195
 100.101.89.247        ,191
 100.101.86.219        ,191
 100.100.128.85        ,188
 100.100.141.34        ,188
 100.92.90.201         ,187
 10.36.56.188          ,186
 100.102.160.148       ,186
 100.101.86.220        ,186
 100.99.253.98         ,186
 100.93.57.138         ,185
 10.36.18.112          ,185
 100.99.251.195        ,184
 10.36.27.236          ,184
 100.99.247.109        ,180
 10.36.20.184          ,180
 10.36.63.77           ,180
 100.101.144.2         ,180
 10.36.81.153          ,179
 10.36.18.174          ,179
 100.99.251.184        ,178
 100.102.160.154       ,177
 100.97.155.108        ,176
 10.36.21.9            ,176
 10.36.51.84           ,176
 10.36.61.60           ,175
 100.99.140.237        ,174
 10.36.26.194          ,173
 100.99.133.11         ,173
 100.101.80.163        ,172
 100.100.223.34        ,171
 100.95.17.199         ,170
 10.36.58.249          ,170
 100.100.137.147       ,170
 10.36.113.211         ,168
 100.99.137.165        ,168
 100.101.157.133       ,168
 10.36.88.58           ,167
 100.93.61.235         ,167
 100.92.90.199         ,166
 100.99.129.172        ,166
 100.99.244.25         ,166
 100.100.140.37        ,166
 10.36.62.168          ,165
 10.36.27.218          ,165
 100.99.249.231        ,165
 10.36.26.237          ,165
 100.99.243.2          ,165
 100.116.143.23        ,165
 10.36.18.122          ,164
 100.95.24.140         ,164
 100.93.59.170         ,163
 100.103.137.61        ,163
 100.100.216.54        ,163
 100.99.251.226        ,163
 10.36.17.155          ,162
 100.99.142.83         ,161
 10.36.17.130          ,161
 100.97.147.39         ,161
 100.99.133.28         ,160
 100.99.133.73         ,160
 100.116.129.242       ,160
 100.100.141.87        ,159
 10.36.86.195          ,159
 100.97.155.105        ,159
 100.101.89.197        ,158
 100.101.82.247        ,158
 100.95.31.107         ,158
 100.99.244.23         ,158
 100.100.221.91        ,158
 100.97.146.88         ,157
 100.99.142.238        ,157
 100.102.175.18        ,156
 100.116.137.235       ,156
 100.99.249.166        ,156
 100.99.249.228        ,156
 10.36.83.43           ,155
 100.99.142.203        ,155
 100.102.171.243       ,155
 10.97.8.12            ,155
 10.36.127.24          ,155
 10.36.30.199          ,155
 10.36.85.137          ,154
 100.101.149.195       ,154
 100.99.243.83         ,154
 100.102.65.165        ,154
 10.36.23.28           ,153
 10.97.8.126           ,152
 100.99.242.137        ,152
 100.99.129.140        ,151
 100.99.252.150        ,151
 100.95.26.58          ,150
 100.100.208.133       ,150
 100.102.76.101        ,150
 100.101.154.228       ,150
 10.36.119.61          ,149
 100.99.137.135        ,149
 100.97.147.36         ,149
 100.101.80.98         ,149
 100.103.143.52        ,148
 100.101.144.198       ,148
 10.36.28.190          ,148
 100.95.27.135         ,148
 10.36.61.131          ,148
 100.92.92.218         ,148
 100.101.81.2          ,148
 100.97.149.125        ,148
 100.99.137.119        ,148
 10.36.63.78           ,148
 100.99.251.232        ,148
 100.99.245.197        ,148
 100.101.156.195       ,147
 100.99.143.109        ,147
 100.99.251.202        ,147
 100.92.82.219         ,146
 10.36.113.214         ,146
 10.36.28.35           ,146
 100.103.143.18        ,146
 100.99.250.146        ,145
 10.36.63.216          ,145
 10.36.26.251          ,145
 100.102.76.41         ,145
 10.36.17.203          ,145
 10.36.82.188          ,144
 100.116.138.83        ,144
 10.36.27.102          ,144
 10.36.25.56           ,144
 100.112.218.151       ,144
 10.36.26.146          ,144
 100.99.255.116        ,144
 100.103.142.82        ,144
 100.93.49.102         ,143
 10.36.62.171          ,143
 100.99.129.92         ,142
 100.93.56.78          ,142
 100.112.221.115       ,142
